================================================================================
FULL PROCESS PIPELINE - PERFORMANCE LOG
Timestamp: 2026-04-08 22:06:04
================================================================================
Total frames: 428
--------------------------------------------------------------------------------
Stage                |   Avg (ms) |   Max (ms)
--------------------------------------------------
Red Nulling          |      14.20 |      27.10
Canny                |       1.86 |       4.41
Ellipse Detection    |       0.50 |       1.38
Read Sign (total)    |       0.01 |       0.08
TOTAL                |      16.59 |      31.99
--------------------------------------------------------------------------------

⚠️ SLOW FRAMES (>16ms = <60 FPS): 261 (61.0%)
--------------------------------------------------------------------------------
  Slow due to Read Sign (>5ms): 0
  Slow due to Ellipse (>5ms):   0
  Slow due to Red Nulling (>5ms): 261

  Top 10 slowest frames:
    1. Total: 32.0ms | Red: 27.1 | Canny: 4.3 | Ellipse: 0.6 | ReadSign: 0.0ms (0)
    2. Total: 23.9ms | Red: 19.8 | Canny: 3.4 | Ellipse: 0.7 | ReadSign: 0.0ms (0)
    3. Total: 22.4ms | Red: 20.0 | Canny: 1.9 | Ellipse: 0.5 | ReadSign: 0.0ms (0)
    4. Total: 22.4ms | Red: 18.5 | Canny: 2.9 | Ellipse: 1.0 | ReadSign: 0.0ms (0)
    5. Total: 21.8ms | Red: 18.6 | Canny: 2.5 | Ellipse: 0.7 | ReadSign: 0.0ms (0)
    6. Total: 21.5ms | Red: 18.6 | Canny: 2.3 | Ellipse: 0.6 | ReadSign: 0.0ms (0)
    7. Total: 21.5ms | Red: 17.8 | Canny: 3.1 | Ellipse: 0.6 | ReadSign: 0.0ms (0)
    8. Total: 21.3ms | Red: 18.5 | Canny: 2.1 | Ellipse: 0.7 | ReadSign: 0.0ms (0)
    9. Total: 21.3ms | Red: 18.4 | Canny: 2.2 | Ellipse: 0.6 | ReadSign: 0.1ms (0)
    10. Total: 20.9ms | Red: 18.3 | Canny: 2.1 | Ellipse: 0.4 | ReadSign: 0.0ms (0)



================================================================================
WEATHER SUMMARY
================================================================================
normal: 20 frames (4.7%)
night: 408 frames (95.3%)
--------------------------------------------------------------------------------

================================================================================
RED-NULL PARAMETERS (representative / last seen)
================================================================================
rd: 1.3
min_brightness: 6
brightness: -8
contrast: 0.95
pre_blur_ksize: 3
--------------------------------------------------------------------------------

================================================================================
RAW DATA (all 428 frames):
--------------------------------------------------------------------------------
Frame | Total | Red  | Canny | Ellipse | ReadSign | Detections | DetSpeed | VehSpeed | Weather | RN_RD  | RN_MIN_B | RN_BRI  | RN_CON  | RN_BLUR | FPS   | CPU  | GPU%  | GPU_MB
    0 |  20.2 | 15.2 |   4.4 |     0.6 |      0.0 |          0 |     0.0 |     0.0 | normal  | 1.50   |  40      |    0    | 1.00    |  3      |   --  |  --  |  0.0|   -- 
    1 |  15.9 | 13.7 |   1.8 |     0.4 |      0.0 |          0 |     0.0 |     0.0 | normal  | 1.50   |  40      |    0    | 1.00    |  3      |   --  |  --  |  0.0|   -- 
    2 |  15.3 | 12.7 |   2.2 |     0.4 |      0.0 |          0 |     0.0 |     0.0 | normal  | 1.50   |  40      |    0    | 1.00    |  3      |   --  |  --  |  0.0|   -- 
    3 |  16.8 | 13.8 |   2.5 |     0.5 |      0.0 |          0 |     0.0 |     0.0 | normal  | 1.50   |  40      |    0    | 1.00    |  3      |   --  |  --  |  0.0|   -- 
    4 |  16.0 | 13.2 |   2.2 |     0.5 |      0.0 |          0 |     0.0 |     0.0 | normal  | 1.50   |  40      |    0    | 1.00    |  3      |   --  |  --  |  0.0|   -- 
    5 |  14.8 | 12.7 |   1.7 |     0.4 |      0.0 |          0 |     0.0 |     0.0 | normal  | 1.50   |  40      |    0    | 1.00    |  3      |   --  |  --  |  0.0|   -- 
    6 |  15.5 | 13.0 |   1.9 |     0.6 |      0.0 |          0 |     0.0 |     0.0 | normal  | 1.50   |  40      |    0    | 1.00    |  3      |   --  |  --  |  0.0|   -- 
    7 |  16.0 | 14.0 |   1.6 |     0.4 |      0.0 |          0 |     0.0 |     0.0 | normal  | 1.50   |  40      |    0    | 1.00    |  3      |   --  |  --  |  0.0|   -- 
    8 |  17.2 | 15.1 |   1.7 |     0.4 |      0.0 |          0 |     0.0 |     0.0 | normal  | 1.50   |  40      |    0    | 1.00    |  3      |   --  |  --  |  0.0|   -- 
    9 |  16.9 | 14.2 |   2.2 |     0.5 |      0.0 |          0 |     0.0 |     0.0 | normal  | 1.50   |  40      |    0    | 1.00    |  3      |   --  |  --  |  0.0|   -- 
   10 |  14.7 | 12.4 |   1.8 |     0.5 |      0.0 |          0 |     0.0 |     0.0 | normal  | 1.50   |  40      |    0    | 1.00    |  3      |   --  |  --  |  0.0|   -- 
   11 |  14.9 | 12.7 |   1.8 |     0.4 |      0.0 |          0 |     0.0 |     0.0 | normal  | 1.50   |  40      |    0    | 1.00    |  3      |   --  |  --  |  0.0|   -- 
   12 |  16.8 | 14.3 |   2.1 |     0.4 |      0.0 |          0 |     0.0 |     0.0 | normal  | 1.50   |  40      |    0    | 1.00    |  3      |   --  |  --  |  0.0|   -- 
   13 |  15.7 | 13.6 |   1.6 |     0.5 |      0.0 |          0 |     0.0 |     0.0 | normal  | 1.50   |  40      |    0    | 1.00    |  3      |   --  |  --  |  0.0|   -- 
   14 |  15.4 | 13.3 |   1.6 |     0.5 |      0.0 |          0 |     0.0 |     0.0 | normal  | 1.50   |  40      |    0    | 1.00    |  3      |   --  |  --  |  0.0|   -- 
   15 |  15.7 | 13.4 |   1.9 |     0.5 |      0.0 |          0 |     0.0 |     0.0 | normal  | 1.50   |  40      |    0    | 1.00    |  3      |   --  |  --  |  0.0|   -- 
   16 |  15.3 | 13.0 |   1.7 |     0.5 |      0.0 |          0 |     0.0 |     0.0 | normal  | 1.50   |  40      |    0    | 1.00    |  3      |   --  |  --  |  0.0|   -- 
   17 |  15.8 | 13.1 |   2.3 |     0.4 |      0.0 |          0 |     0.0 |     0.0 | normal  | 1.50   |  40      |    0    | 1.00    |  3      |   --  |  --  |  0.0|   -- 
   18 |  17.4 | 14.8 |   2.0 |     0.6 |      0.0 |          0 |     0.0 |     0.0 | normal  | 1.50   |  40      |    0    | 1.00    |  3      |   --  |  --  |  0.0|   -- 
   19 |  16.3 | 14.2 |   1.6 |     0.5 |      0.0 |          0 |     0.0 |     0.0 | normal  | 1.50   |  40      |    0    | 1.00    |  3      |   --  |  --  |  0.0|   -- 
