================================================================================
FULL PROCESS PIPELINE - PERFORMANCE LOG
Timestamp: 2026-04-17 07:54:57
================================================================================
Total frames: 920
--------------------------------------------------------------------------------
Stage                |   Avg (ms) |   Max (ms)
--------------------------------------------------
Red Nulling          |       6.96 |      11.35
Canny                |       2.33 |       9.64
Ellipse Detection    |       0.39 |       2.64
Read Sign (total)    |       0.18 |       8.88
TOTAL                |       9.90 |      21.45
--------------------------------------------------------------------------------

⚠️ SLOW FRAMES (>16ms = <60 FPS): 19 (2.1%)
--------------------------------------------------------------------------------
  Slow due to Read Sign (>5ms): 15
  Slow due to Ellipse (>5ms):   0
  Slow due to Red Nulling (>5ms): 19

  Top 10 slowest frames:
    1. Total: 21.4ms | Red: 7.0 | Canny: 5.2 | Ellipse: 1.1 | ReadSign: 8.0ms (1)
    2. Total: 19.9ms | Red: 7.8 | Canny: 2.4 | Ellipse: 1.2 | ReadSign: 8.5ms (1)
    3. Total: 19.6ms | Red: 7.0 | Canny: 2.5 | Ellipse: 1.1 | ReadSign: 8.9ms (1)
    4. Total: 19.1ms | Red: 8.9 | Canny: 2.7 | Ellipse: 1.1 | ReadSign: 6.2ms (1)
    5. Total: 18.9ms | Red: 8.4 | Canny: 3.0 | Ellipse: 1.3 | ReadSign: 6.1ms (1)
    6. Total: 18.6ms | Red: 9.7 | Canny: 2.7 | Ellipse: 1.2 | ReadSign: 5.0ms (1)
    7. Total: 18.0ms | Red: 7.0 | Canny: 2.7 | Ellipse: 1.1 | ReadSign: 7.3ms (1)
    8. Total: 17.7ms | Red: 7.8 | Canny: 2.2 | Ellipse: 1.0 | ReadSign: 6.6ms (1)
    9. Total: 17.7ms | Red: 8.2 | Canny: 2.3 | Ellipse: 1.1 | ReadSign: 6.1ms (1)
    10. Total: 17.5ms | Red: 7.8 | Canny: 2.2 | Ellipse: 1.1 | ReadSign: 6.2ms (1)



================================================================================
WEATHER SUMMARY
================================================================================
normal: 330 frames (35.9%)
fog: 540 frames (58.7%)
night: 50 frames (5.4%)
--------------------------------------------------------------------------------

================================================================================
RED-NULL PARAMETERS (representative / last seen)
================================================================================
rd: 1.3
min_brightness: 6
brightness: -8
contrast: 0.95
pre_blur_ksize: 3
--------------------------------------------------------------------------------

================================================================================
RAW DATA (all 920 frames):
--------------------------------------------------------------------------------
Frame | Total | Red  | Canny | Ellipse | ReadSign | Detections | DetSpeed | VehSpeed | Weather | RN_RD  | RN_MIN_B | RN_BRI  | RN_CON  | RN_BLUR | FPS   | CPU  | GPU%  | GPU_MB
    0 |  16.3 | 11.3 |   4.4 |     0.5 |      0.0 |          0 |     0.0 |     0.0 | normal  | 1.50   |  40      |    0    | 1.00    |  3      |   --  |  --  |  0.0|   -- 
    1 |  11.5 |  7.3 |   3.6 |     0.6 |      0.0 |          0 |     0.0 |     0.0 | normal  | 1.50   |  40      |    0    | 1.00    |  3      |   --  |  --  |  0.0|   -- 
    2 |   9.7 |  7.0 |   2.3 |     0.3 |      0.0 |          0 |     0.0 |     0.0 | normal  | 1.50   |  40      |    0    | 1.00    |  3      |   --  |  --  |  0.0|   -- 
    3 |  10.1 |  7.4 |   2.3 |     0.3 |      0.0 |          0 |     0.0 |     0.0 | normal  | 1.50   |  40      |    0    | 1.00    |  3      |   --  |  --  |  0.0|   -- 
    4 |  10.0 |  7.2 |   2.4 |     0.3 |      0.0 |          0 |     0.0 |     0.0 | normal  | 1.50   |  40      |    0    | 1.00    |  3      |   --  |  --  |  0.0|   -- 
    5 |   9.6 |  7.3 |   2.0 |     0.3 |      0.0 |          0 |     0.0 |     0.0 | normal  | 1.50   |  40      |    0    | 1.00    |  3      |   --  |  --  |  0.0|   -- 
    6 |  10.9 |  7.0 |   2.3 |     0.3 |      1.3 |          0 |     0.0 |     0.0 | normal  | 1.50   |  40      |    0    | 1.00    |  3      |   --  |  --  |  0.0|   -- 
    7 |   9.2 |  6.7 |   2.1 |     0.3 |      0.0 |          0 |     0.0 |     0.0 | normal  | 1.50   |  40      |    0    | 1.00    |  3      |   --  |  --  |  0.0|   -- 
    8 |  10.0 |  7.0 |   2.6 |     0.3 |      0.0 |          0 |     0.0 |     0.0 | normal  | 1.50   |  40      |    0    | 1.00    |  3      |   --  |  --  |  0.0|   -- 
    9 |  11.7 |  8.6 |   2.7 |     0.3 |      0.0 |          0 |     0.0 |     0.0 | normal  | 1.50   |  40      |    0    | 1.00    |  3      |   --  |  --  |  0.0|   -- 
   10 |   9.7 |  7.3 |   2.0 |     0.3 |      0.0 |          0 |     0.0 |     0.0 | normal  | 1.50   |  40      |    0    | 1.00    |  3      |   --  |  --  |  0.0|   -- 
   11 |   9.5 |  7.0 |   2.1 |     0.3 |      0.0 |          0 |     0.0 |     0.0 | normal  | 1.50   |  40      |    0    | 1.00    |  3      |   --  |  --  |  0.0|   -- 
   12 |  10.0 |  6.8 |   2.9 |     0.3 |      0.0 |          0 |     0.0 |     0.0 | normal  | 1.50   |  40      |    0    | 1.00    |  3      |   --  |  --  |  0.0|   -- 
